"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Benin","BEN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","412.48","428.33","446.45","465.86","488.13","502.44","499.95","486.84","465.37","444.02","414.35","381.42","364.49","361.95","369.53","392.84","419.86","418.68","409.27","401.11","378.26","378.98","377.91","363.4","",
"Burkina Faso","BFA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","597.17","597.54","592.47","582.14","559.01","528.52","511.16","519.27","549.65","568.59","568.37","554.68","533.39","487.14","446.14","417.95","373.17","356.56","356.23","356.49","378.17","378.58","356.27","353.49","",
"Bangladesh","BGD","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.62","6.62","6.62","6.62","6.62","6.62","4.34","7.96","7.51","4.96","4.23","3.83","2.12","1.87","3.89","2.65","1.82","1.91","0.7","1.19","0.42","0.5","1.23","1.1","",
"Bulgaria","BGR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.94","6.78","6.42","7.27","5.69","8.03","4.25","4.14","2.57","1.19","0.68","0.32","0.14","0.08","0.08","0.04","0.02","0.03","0.01","0","0","0","0","0","",
"Bermuda","BMU","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.69","5.62","4.9","6.71","4.84","6.43","5.96","4.51","2.96","2.94","4.04","2.06","2.11","2.25","2.23","1.86","1.48","1.2","1.39","2.39","3.08","2.49","2.55","2.51","",
"Brazil","BRA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.54","13.05","11.24","12.7","13.93","17.56","15.42","13.96","8.69","8.43","9.92","7.16","6.46","4.91","3.61","4.02","3.2","5.32","5.23","4.24","3.95","3.47","3.21","3.81","",
"Barbados","BRB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.44","13.23","14.09","8.07","5.55","3.73","3.76","1.58","0.65","2.06","0.84","0.37","0.15","0.03","0.04","0.06","0.03","0.02","0.01","0","0.04","0.02","0","0","",
"Botswana","BWA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.22","6.78","3.17","1.58","1.02","1.2","3.86","1.02","1.9","2.06","1.65","0.5","0.22","0.51","1.44","0.31","0.67","1.96","0.53","0.17","1.13","0.67","0.34","0.47","",
"Central African Republic","CAF","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","430.37","430.76","438.48","444.54","448.79","451.06","449.96","439.95","427.94","416.62","401.68","390.26","384.07","378.23","369.21","353.41","335.41","332.28","328.77","323.82","312.8","311.4","306.37","305.54","",
"Canada","CAN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.04","0.05","0.05","0.05","0.04","0.06","0.05","0.03","0.02","0.01","0","0","0","0","0","0","0","0","0","0","","0","","",
"Cote d'Ivoire","CIV","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","489.82","502.6","507.26","510.6","502.81","478.9","441.33","405.02","403.38","429.88","457.83","459.87","374.75","287.43","259.06","241.69","243.95","254.2","269.43","276.2","278.31","274.17","266.45","251.43","",
"Cameroon","CMR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","392.43","422.88","432.34","436.3","435.3","433.97","426","410.66","392.81","351.62","295.38","266.47","261.81","272.66","274.64","273.44","270.55","259.97","248.8","242.46","253.86","262.37","262.96","258.81","",
"Congo, Dem. Rep.","COD","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","459.31","457.7","460.49","467.02","468.48","469.27","466.39","450","431.01","405.43","381.68","359.74","333.87","308.26","295.21","300.71","308.57","323.65","338.68","337.57","333.88","329.39","317.34","313.27","",
"Congo, Rep.","COG","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","352.12","352.23","329.97","329.8","326.06","307.9","285.99","256.19","228.07","216.03","215.92","216.26","214.78","215.67","210.14","208.16","214.91","236.39","248.5","241.4","234.23","224.82","214.98","214.78","",
"Colombia","COL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.35","37.88","32.64","28.05","21.47","17.89","17.5","18.09","11.35","11.28","16.6","8.99","8.32","7.08","5.53","8.16","11","7.6","8.64","11.16","10.15","9.13","8.88","10.57","",
"Comoros","COM","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.37","65.07","63.81","62.56","61.31","60.09","58.91","57.75","56.61","55.49","55.8","37.21","73.12","76.35","3.1","2.59","1.98","5.15","19.68","22.37","5.67","12.88","24.78","24.75","",
"Cabo Verde","CPV","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.22","0.89","0.63","0.55","0.36","0.54","0.63","0.14","0.27","0.49","0.35","0.05","0.01","0.17","0.2","0.05","0.37","3.17","0.01","0","0","0","0","0","",
"Costa Rica","CRI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.36","0.97","0.72","0.5","0.88","2.37","1.92","0.8","0.62","0.17","0.07","0.01","0","0","0","0","0","0.01","0.04","0.05","0.05","0.11","0.23","0.3","",
